ID;Topic;Description;Suggestion A;Suggestion B;Note;Chosen
2A;Leviathan Flamer cover;Leviathan Assault Reduces Cover (−3) is on the Flamer in the summary table (page 11) and listed with the unit abilities on the card (page 41). Damages Buildings (AP −3/2) in assault stays on the unit in both.;Reduces Cover (−3) on the Flamer (weapon).;Reduces Cover on the unit.;Shot rule; put on the weapon.;A
3A;Leviathan Grav Flux;Leviathan Support Damages Buildings (AP −2/2) is on the Grav-flux Bombard in the summary table (page 11) and listed as a unit ability on the card (page 41).;Damages Buildings (AP −2/2) on the Grav-flux Bombard (weapon).;On the unit.;Shot rule; put on the weapon.;A
4A;Destroyer cover;Destroyer Reduces Cover is on the Phosphor Pistol / Rad Missile Launcher in the summary table (page 8) and listed on those variants on the card (page 32).;On those weapons.;On the units.;Shot rule; put on the weapon.;A
5A;Saturnine Plasma;Saturnine Plasma Bombard Artillery and Reduces Cover (−1) are on the bombard in the summary table (page 8) and listed on that variant on the card (page 33).;On the Plasma Bombard (weapon).;On the unit.;Shot rule; put on the weapon.;A
6A;Tactical Support Flamer;Tactical Support Flamer Reduces Cover (−3) is on the Flamer in the summary table (page 8) and listed on that variant on the card (page 31).;On the Flamer (weapon).;On the unit.;Shot rule; put on the weapon.;A
7A;Arquitor artillery;Arquitor Artillery / Graviton / Battery / Template / Reduces Cover are on the guns in the summary table (page 11). Card (page 43) lists them on the variants.;On those weapons.;On the units.;Shot rule; put on the weapon. Table typo Batteie → Battery.;A
8A;Whirlwind Artillery;Whirlwind Artillery is on both missile modes in the summary table (page 13) and listed on the unit on the card (page 50). Scorpius Artillery and Reduces Cover are on the Skorpius missiles in the table (page 13) and on the unit on the card (page 51). Rapid Intervention stays on the unit in both.;Artillery (and Scorpius Reduces Cover) on those weapons.;On the units.;Shot rule; put on the weapon.;A
9A;Off-table Laser Lance;Off-table Laser Lance abilities are on the summary table (page 16): Damage +1D3 and Off-Table Artillery. Card (page 60) prints the profile line but only describes Fragmentation Barrage and Macro Barrage in prose.;Include Damage +1D3 and Off-Table Artillery from the table.;Print the profile with no extra abilities (match the omitted prose).;Truncated card prose.;A
10A;Predator Annihilator Turret;Predator Annihilator Tourelle is on Canons Laser Lourd Jumelés in the summary table (page 12). Card (page 46): Ses Canons Laser Jumelés ont Tourelle. Same 60 cm / 1 / 4+ / −2 gun.;Turret on the Twin Heavy Lascannon (weapon).;Turret on the sponson Lascannons.;Shot rule; put on the weapon.;A
11A;Stormbird Turret;Stormbird Tourelle is on both guns in the summary table (page 15). Card (page 57): ses armes ont Tourelle.;Turret on both weapons.;Turret on the unit.;Shot rule; put on the weapon.;A
12A;Anvilus spelling;Anvilus autocannon is Anvillus on Deredeo (pages 10, 22, 25, 40) and Anvilus on Sabre (pages 12, 25, 47).;Anvilus Autocannon (GW).;Keep each source’s double-l.;;A — Anvilus
13A;Hyperios spelling;Hyperios is Hyperios in the table name and army list (pages 9, 24) and Hypérios on the guns and card (pages 9, 37).;Hyperios (GW).;Keep Hypérios on the guns.;;A — Hyperios
14A;Scorpius spelling;Whirlwind Scorpius missiles are Skorpius in the summary table (page 13) and Scorpius on the card and army list (pages 25, 51).;Scorpius (GW).;Keep Skorpius on the table.;;A — Scorpius
15A;Herakles spelling;Sicaran accelerator is Herakies in the table, card, and lore (pages 12, 47).;Herakles Autocannon (GW).;Keep Herakies.;;A — Herakles
16A;Krak spelling;Sicaran Arcus krak mode is Krack in the table and card (pages 12, 48).;Krak.;Keep Krack.;;A — Krak
17A;Devotion Bell name;Devotion Bell is Cloche de Dévotion in the special-ability text (page 5) and Cloche de la Dévotion in the titan weapons table (page 17). Same 50-point Warlord carapace option with Charismatic (30 cm).;Devotion Bell / Cloche de Dévotion.;Keep both French forms.;;A — Devotion Bell
18A;Landing module spelling;Landing module is Module d'Atterrisage (missing s) in the summary table (pages 11–12), Module d'atterrissage / Module D'atterrissage on the Deathstorm row and card (pages 12, 45), and Modules d'Atterrissage in the special rules and army list (pages 6, 23).;Landing Module / Drop Pod (spaces and double s).;Keep each source’s spelling.;;A
19A;Assault Ram spelling;Caestus ability is Belier d'Assaut in the special-ability heading and summary table (pages 6, 11) and Bélier d'Assaut on the card (page 42).;Assault Ram.;Keep both French accents.;;A — Assault Ram
20A;Fury of the Legion spelling;Fury of the Legion is Furie de la Légion in the special-ability heading (page 5) and Furie de la Legion on the Tactical Bolter row and card (pages 8, 34).;Fury of the Legion.;Keep the missing accent on Tacticals.;;A — Fury of the Legion
21A;Master of Signal name;Master of Signal is Maitre de Signal in the table and army list (pages 9, 23), MAÎTRE DE SIGNAL on the card heading (page 35), and Maître du Signal in the card lore.;Master of Signal (GW).;Keep each French form.;;A — Master of Signal
22A;Champion blades name;Champion melee weapon is Lames Enérgétiques in the summary table (page 7) and Lames Énergétiques on the card (page 30).;Power Swords (GW).;Keep the table accent.;;A — Power Swords
23A;Rampager Centurion name;Rampager Centurion is Centurion Saccageurs (plural) in the summary table and card heading (pages 7, 30) and Centurion Saccageur in the army list and card prose (pages 21, 30).;Rampager Centurion (GW).;Keep the plural on the table.;;A — Rampager Centurion
24A;Inversion Beam name;Saturnine Ophion beam is Rayon d'Invertion in the table and card (pages 11, 41).;Inversion Beam.;Keep Invertion.;;A — Inversion Beam
25A;Breacher Praetorian leftover;Breacher card (page 32): Les Légionnaires Brécheurs Praetorian ont Elite (0). Table, army list, and rest of the book are World Eaters Legionnaires, not Praetorian.;Drop Praetorian; Legionnaire Breachers.;Keep Praetorian on that sentence.;Copied legion template.;A
26A;Rapier Laser Destroyer;Rapier laser name. Table (page 9): Destructeur Laser. Card (page 36): Destructeur Turbo Laser. Same stats (45 cm / 1 / 4+ / −3).;Laser Destroyer (GW).;Keep Turbo-Laser only on the card.;;A — Laser Destroyer
27A;Infernus Multi-melta;Predator Infernus turret gun. Table and card profile (pages 12, 46): Multi-Fuseur. Card prose (page 46): Multi-Fuseur Lourd.;Multi-melta (GW).;Keep Heavy on that sentence.;;A — Multi-melta
28A;Carapace landing module name;Carapace landing module name is mashed in the titan weapons table (page 18): Moduled’Atterrissage de Carapace.;Carapace Landing Module (spaces).;Keep the mashed spelling.;;A
29A;One-Use spelling;One-Use is Usage Unique on most titan weapons (pages 17–18) and Usage unique on Missile Vortex and Missile Warp.;One-Use everywhere.;Keep the mixed capitalisation.;;A — One-Use
30A;Eradicator spelling;Eradicator is Erradicateur on titan weapons (page 17).;Eradicator (GW).;Keep the French double-r.;;A — Eradicator
31A;Sky-Hunter name;Jetbike formation is Détachement de Motojet Sky-Hunter in the Bike Company (page 21) and Motojets Scimitar in the contents, table, card, and Support (pages 10, 24, 39).;Scimitar Jetbikes (GW); Sky-Hunter as the formation name if needed.;Keep Sky-Hunter in that one row.;;A — Scimitar Jetbikes
32A;Heavy Support name;Heavy Support is Légionnaires de Soutien in the table and cards (pages 8, 33) and Légionnaires de Soutien Lourd in the Infantry Company and Support (pages 21, 24).;Legion Heavy Support.;Keep Lourd only on the army list.;;A
33A;Fire Raptor lore turrets;Fire Raptor lore names side turrets that are not on the profile. Card lore (page 43): deux tourelles latérales. Summary table and card profile (pages 11, 43): Avenger Bolt Cannon and Twin Heavy Bolters, no Tourelle.;Follow table and card profile: no Turret.;Add Turret from the lore.;Table and card stats already agree.;A
34A;Example armies;Example armies (pages 27–28) do not match the real army list (for example mixed company/support lines). Summary tables, cards, and the real list (pages 20–26) are the sources.;Follow the real army list and profiles.;Follow the examples.;;A — real list
35A;French grammar;French grammar mistakes, including choisssez, Un socles, Du plus, inteception, Réacteur de saut, Solar Auxillia, Prétarian Léger, Compagnie de Véhicule, Formations Spéciales Supplémentaire, deTitan, Effectifs Variable, utilise peut utiliser, Blindag, and similar.;Fix the grammar in English.;Reproduce the French errors.;;A
