ID;Topic;Description;Suggestion A;Suggestion B;Note;Chosen
4A;Ordinatus Twin Lascannons;Ordinatus Armageddon, Golgotha, and Mars hull guns are Canon Lasers Jumelés in the summary table (page 12) and Canons Laser on the cards (pages 45–46). Same stats (60 cm / 4 / 4+ / −1).;Twin Lascannons (GW / Jumelés).;Lascannons (card).;;A — Twin Lascannons
5A;Off-table Laser Lance;Off-table Laser Lance abilities are on the summary table (page 13): Damage +1D3 and Off-Table Artillery. Card (page 49) prints the profile line but only describes Fragmentation Barrage and Macro Barrage in prose.;Include Damage +1D3 and Off-Table Artillery from the table.;Print the profile with no extra abilities (match the omitted prose).;Truncated card prose.;A
6A;Scout Onagre Autocannon Turret;Onager Dunecrawler Scout Autocannon Tourelle is on the Autocannon in the summary table (page 10) and not mentioned on the card (page 42). Card puts Turret on both Eradicator modes only.;Turret on the Autocannon as well (table).;Turret only on the Eradicator modes (card).;Shot rule; put on the weapon.;A
7A;Fouisseuse Sortie;Fouisseuse Sortie de Fouisseuse is a weapon row in the summary table (page 12): 0 cm / Template / 3+ / −1, Template (12 cm). Card and special-ability text (pages 6, 45) put the named ability on the unit when the tunneler surfaces (same 12 cm / 3+ / AP −1).;Named ability on the unit; keep the template stats from the special rule and table.;Keep it as a weapon row only.;Special-rules text describes a surfacing effect.;A — on the unit
8A;Landing craft Howitzers;Landing Craft howitzer name. Table (page 12): Obusiers (45 cm / 4 / 4+ / −2, Turret). Card (page 46): Obusiers Gauche, same stats.;Howitzers (drop Gauche).;Keep Left Howitzers on the card.;Leftover from a split layout.;A — Howitzers
9A;Thanatar Calix ram;Thanatar Calix Graviton and Damages Buildings (AP −3/1) are on the Grav Ram in the summary table (page 9). Card (page 38): son arme (singular) has those abilities, and the profile also has a Lascannon.;On the Grav Ram (weapon).;On both weapons or on the unit.;Shot rules; put on the weapon.;A
10A;Conversion Beamer users;Conversion Beam used-by cell (page 15): DW, R, W. Footer is D = Warhound, R = Reaver/Warbringer, W = Warlord.;D, R, W.;Keep DW as a fourth class.;Typo.;A — D, R, W
11A;Carapace landing module name;Carapace landing module name is mashed in the titan weapons table (page 15): Moduled’Atterrissage Carapace. Extracted text and the ability name: Module d’Atterrissage de Carapace / Land Speeder de Reconnaissance.;Carapace Landing Module (spaces).;Keep the mashed spelling.;;A
12A;Devotion Bell name;Devotion Bell is Cloche de Dévotion in the special-ability text (page 5) and Cloche de la Dévotion in the titan weapons table (page 14). Same 50-point Warlord carapace option with Charismatic (30 cm).;Devotion Bell / Cloche de Dévotion.;Keep both French forms.;;A — Devotion Bell
13A;One-Use spelling;One-Use is Usage Unique on most titan weapons (pages 14–15) and Usage unique on Missile Vortex and Missile Warp.;One-Use everywhere.;Keep the mixed capitalisation.;;A — One-Use
14A;Domitar heading;Domitar heading is ROBOT DOMINATAR (page 37). Table, army list, and card body (pages 9, 22, 37): Domitar.;Domitar (GW).;Keep Dominatar on the heading.;;A — Domitar
15A;Ursarax heading;Ursarax heading is URSURAX (page 32). Table, army list, and card body (pages 8, 22, 32): Ursarax.;Ursarax (GW).;Keep Ursurax on the heading.;;A — Ursarax
16A;Serberys name;Serberys is Serbery in the summary table and card title (pages 8, 33) and Serberys in the army list and card lore (pages 19–20, 33).;Serberys (GW spelling).;Keep Serbery on the table and card title.;;A — Serberys
17A;Skitarii Pilgrim spelling;Skitarii Pilgrim is Pelerin in the table, army list, and card title (pages 7, 22, 29) and Pellerin / Pelerins in the card lore (page 29).;Skitarii Pilgrims; one French form Pèlerin.;Keep each source’s spelling.;;A — Skitarii Pilgrims
18A;Thanatar Calix spelling;Thanatar Calix is Callix in the card ability line (page 38). Table, heading, army list, and lore (pages 9, 22, 38): Calix.;Thanatar Calix (GW).;Keep Callix in that sentence.;;A — Thanatar Calix
19A;Phosphor spelling;Phosphor is Phospore on the Archaeopter Stratoraptor (pages 10, 39): Blaster au Phospore. Rest of the book: Phosphore (Pteraxii, Serberys, Onager).;Phosphor (GW).;Keep Phospore on the Stratoraptor.;;A — Phosphor
20A;Eradicator spelling;Eradicator is written Erradicateur and Eradicateur. Summary table (page 10): Rayon Erradicateur / R. Eradicateur. Card (page 42): Rayon Eradicateur. Titan weapons (pages 14–15): Erradicateur à Graviton / Volkite. Hastarii: Projecteur d’Eradication.;Eradicator / Eradication Beamer (GW).;Keep each French double-r.;Same weapon family.;A — Eradicator
21A;Graviton Destroyer typo;Ordinatus Minoris Graviton main gun is Detructeur à Graviton in the summary table and card profile (pages 11, 44) and Destructeur à Graviton in the card prose (page 44).;Graviton Destroyer.;Keep Detructeur on the profile line.;;A — Graviton Destroyer
22A;Magos Dominus contents;Robot company contents cell (page 18): 1 socle de Magos Dominus sur Abeyantagos. Name row and rest of the book: Magos Dominus sur Abeyant.;Magos Dominus on Abeyant.;Keep Abeyantagos in that cell.;Typo.;A
23A;Ironstrider name;Ironstrider Ballistarii is Ferro-Échassier Ballistarii (singular) in the summary table (page 8) and Ferro-Échassiers Ballistarii in the army list and card heading (pages 19, 21, 35).;Ironstrider Ballistarii (GW).;Keep the singular on the table.;;A — Ironstrider Ballistarii
24A;Hellfire Missiles name;Ordinatus Golgotha missiles are Missiles Hellfire in the summary table (page 12) and Missiles Feu d’Enfer on the card (page 46). Same stats.;Hellfire Missiles (GW).;Keep Feu d’Enfer on the card.;;A — Hellfire Missiles
25A;Graviton Pistol name;HQ graviton sidearm is Pistolet Graviton on tables and card profiles and Pistolet à Graviton in card ability lines (pages 7–8, 25, 27, 32).;Graviton Pistol.;Keep both French forms.;;A — Graviton Pistol
26A;Macrocarid Twin Heavy Lascannon;Macrocarid Explorator main gun is Canon Laser L Jumelés in the summary table (page 10) and Canon Laser Lourd Jumelés on the card (page 41). Same stats (60 cm / 2 / 4+ / −2).;Twin Heavy Lascannon (GW).;Keep the table abbreviation.;;A — Twin Heavy Lascannon
27A;Fouisseuse ability name;Terrier emergence is Sortie Fouisseuse in the special-ability heading (page 6) and Sortie de Fouisseuse on the table and card (pages 12, 45).;One English name: Hellbore Emergence (or equivalent).;Keep both French forms.;Fouisseuse itself is Hellbore (GW).;A — Hellbore / Hellbore Emergence
28A;Minoris Damages Buildings;Ordinatus Minoris Quake Cannon building rule is Endommage les Bâtiments (PA −4/3) in the summary table (page 11) and Détruit les Bâtiments (PA −4/3) in the card prose (page 44). Same numbers.;Damages Buildings (rulebook name).;Keep Destroys Buildings on that sentence.;;A — Damages Buildings
29A;Castellan lore weapons;Castellan lore names power gauntlets that are not on the profile. Card lore (page 36): Gantelets Énergétiques. Summary table and card profile (pages 9, 36): Flamer only.;Follow table and card profile: Flamer.;Add power gauntlets from the lore.;Table and card stats already agree.;A — Flamer
30A;Colossus lore weapons;Colossus lore names a siege hammer that is not on the profile. Card lore (page 37): marteau de siège with lighter guns. Summary table and card profile (pages 9, 37): Multi-melta only; Damages Buildings (AP −2/1) in assault on the unit.;Follow table and card profile: Multi-melta.;Add a siege hammer from the lore.;Table and card stats already agree.;A — Multi-melta
31A;Thanatar Calix lore gun;Thanatar Calix lore names a Sollex Heavy Lascannon as the main gun (page 38). Summary table and card profile (pages 9, 38): Grav Ram and Lascannon.;Follow table and card profile: Grav Ram and Lascannon.;Replace with Sollex Heavy Lascannon from the lore.;Table and card stats already agree.;A
32A;Karacnos lore missiles;Karacnos lore names Hunter-Killer missiles (page 40). Summary table and card profile (pages 10, 40): Radiation Mortar and Lascannon only; Protection (4+) to the front.;Follow table and card profile: no Hunter-Killers.;Add Hunter-Killers from the lore.;Table and card stats already agree.;A
33A;Krios lore fields;Krios lore names interlocking energy fields (page 40) and the Venator lore calls the Krios gun Canon à Foudre (page 41). Summary table and both profiles (pages 10, 40–41): Electro-Cannon / Pulsar-Fusil; no Protection.;Follow table and card profiles.;Add Protection from the lore.;Table and card stats already agree.;A
34A;Termite lore cutters;Termite lore names fusion cutters (page 43). Summary table and card profile (pages 11, 43): Autocannon.;Follow table and card profile: Autocannon.;Add fusion cutters from the lore.;Table and card stats already agree.;A — Autocannon
35A;Onagre lore Icarus;Onager Dunecrawler lore (page 42) lists Canon Rayon Icarus twice and omits the Phosphor Blaster variant. Summary table and card profiles (pages 10, 42) have three versions: Heavy Phosphor Blaster, Heavy Grav-Cannon, Icarus Array.;Follow table and card profiles: three versions.;Follow that sentence.;Prose typo.;A
36A;Example armies;Example armies (pages 23–24) do not match the real army list (Adeptus Mecanicus spelling; Electro-Priests line whose contents are 1 Ordinatus Mars). Summary tables, cards, and the real list (pages 7–22, 25–49) are the sources.;Follow the real army list and profiles.;Follow the examples.;;A — real list
37A;French grammar;"Grammar errors in the French, including à la / a la, relancer, jets … réussi, Les Vaisseau … suit, une toucher, et qui une fois placé, Il sont souvent monté, Blindage Intégral Transport, Thanatar Callix, L'arlance, a plupart, Graviotn, 0-5 ormations, and similar.";Fix the grammar in English.;Reproduce the French errors.;;A
